Road_No,Name of road,Total Stretch,Total Length,Start_KM,End_KM,Length,Stretch,Year,Scheme,Started Year,Completed Year,Work Type
O-3455,Ambasamusram Road,Km 0/0-1/6,1.6,0,1.6,1.6,KM 0/0 - 1/6,SRPR 2025-26,CRIDP,2025,2026,Improvement
O-6931,Panniyan road,Km 0/0-1/6,1.6,0,1.6,1.6,KM 0/0 - 1/6,SRPR 2025-26,SRPR,2025,2026,Improvement
O-282,Andipatti road,Km 0/0-1/4,1.4,0,1.4,1.4,KM 0/0 - 1/4,SRPR 2024-25,SRPR,2024,2025,Renewal
O-10271,Uthappanaickanur-Koppilipatti road,Km 0/0-0/8,0.8,2,5.8,3.8,KM 2/0 - 5/8,Upgrd 2019-20,Upgrd,2019,2020,Strengthening
O-10273,Perumalkovilpatti-periyapalarpatti,Km 0/0-2/0,2,0,2,2,KM 0/0 - 2/0,Upgrd 2019-20,Upgrd,2019,2020,Strengthening
O-10272,Pasukkaranpatti road,Km 0/0-1/0,1,0,1,1,KM 0/0 - 1/0,Upgrd 2019-20,Upgrd,2019,2020,Strengthening
O-10270,Veerapandi-Vinnakkudi road,Km 0/0-1/020,1.02,0,1.02,1.02,KM 0/0 - 1/02,Upgrd 2019-20,Upgrd,2019,2020,Strengthening
O-10269,Chell-Vikkir to Vadugapatti road,Km 0/0-1/0,1,0,1,1,KM 0/0 - 1/0,Upgrd 2019-20,Upgrd,2019,2020,Strengthening
O-7313,Uthappanaickanur - Peranai road,Km 7/8-8/8,1,7.8,8.8,1,KM 7/8 - 8/8,CRIDP 2024-25,CRIDP,2024,2025,Wdg & Stg
O-1674,Jothilnaickanur road,Km 0/0-1/0,1,0,1,1,KM 0/0-1/0,SRPR 2019-20,SRPR,2019,2020,IRQP
O-5394,Pudukottai- Mupidarpatti road,Km 0/0-1/0,1,0,1,1,KM 0/0-1/0,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
O-7063,Thottapanaickanur road,Km 0/0-1/0,1,0,1,1,KM 0/0-1/0,SRPR 2020-21,SRPR,2020,2021,IRQP
O-1681,K.Paraipatti road,Km 0/0-1/0,1,0,1,1,KM 0/0-1/0,CRIDP 2019-20,CRIDP,2019,2020,Strengthening
O-3094,Koppilipatti - Pappapatti road,Km 0/0-1/0,1,0,1,1,KM 0/0-1/0,SRPR 2019-20,SRPR,2019,2020,IRQP
O-806,Pasukkaranpatti - V.Kamatchipuram road,Km 0/0-0/900,0.9,0,0.9,0.9,KM 0/0-0/9,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
O-661,Ayyanarkulam road,Km 0/0-0/8,0.8,0,0.8,0.8,KM 0/0-0/8,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
O-7311,Mondikundu road,Km 0/0-0/8,0.8,0,0.8,0.8,KM 0/0-0/8,CRIDP 2020-21,CRIDP,2020,2021,Strengthening
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,0,2,2,KM 0/0-2/0,SRPR 2018-19,SRPR,2018,2019,IRQP
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,2,3,1,KM 2/0-3/0,CRIDP 2021-22,CRIDP,2021,2022,IRQP
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,3,4,1,KM 3/0-4/0,CRIDP 2018-19,CRIDP,2018,2019,IRQP
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,4,5,1,KM 4/0-5/0,SRPR 2018-19,SRPR,2018,2019,IRQP
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,5,7,2,KM 5/0-7/0,CRIDP 2021-22,CRIDP,2021,2022,Strengthening
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,7,8,1,KM 7/0-8/0,CRIDP 2023-24,CRIDP,2023,2024,Wdg & Stg
O-7842,Vikkiramangalam - Nathampatti road,Km 0/0-10/300,10.3,8,10.3,2.3,KM 8/0-10/3,CRIDP 2021-22,CRIDP,2021,2022,IRQP
